geo\time	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 
hu	7.5 	7.2 	6.1 	5.9 	5.8 	5.7 	6.4 	6.9 	8.4 	9.0 	9.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
mt	7.3 	7.3 	7.4 	7.6 	7.5 	7.6 	6.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
nl	3.9 	4.7 	4.6 	3.7 	2.8 	2.2 	2.8 	3.2 	3.8 	4.9 	6.0 	6.6 	6.8 	6.2 	5.3 	5.5 	5.8 	6.6 	7.2 	7.7 	7.8 	7.9 	8.9 	9.2 
at	4.8 	5.2 	4.8 	4.3 	4.2 	3.6 	3.6 	3.9 	4.5 	4.4 	4.3 	3.9 	3.8 	4.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
pl	13.8 	17.7 	19.0 	19.6 	19.9 	18.2 	16.1 	13.4 	10.2 	10.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
pt	7.7 	7.6 	6.7 	6.3 	5.0 	4.0 	4.0 	4.5 	5.1 	6.8 	7.3 	7.3 	6.9 	5.6 	4.3 	4.2 	4.8 	5.2 	5.8 	7.2 	8.8 	9.1 	8.9 	8.2 
ro	7.3 	7.2 	8.1 	7.0 	8.4 	6.6 	7.2 	6.6 	5.4 	5.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
si	6.0 	6.5 	6.3 	6.7 	6.3 	6.2 	6.7 	7.3 	7.4 	6.9 	6.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
sk	13.4 	16.3 	18.2 	17.6 	18.7 	19.3 	18.8 	16.4 	12.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
fi	7.7 	8.4 	8.8 	9.0 	9.1 	9.1 	9.8 	10.2 	11.4 	12.7 	14.6 	15.4 	16.6 	16.3 	11.7 	6.6 	3.2 	3.1 	4.2 	: 	: 	: 	: 	: 
se	7.0 	7.4 b	6.3 	5.6 	4.9 	4.9 	5.6 	6.7 	8.2 	9.9 	9.6 	8.8 	9.4 	9.1 	5.6 	3.1 	1.7 	1.6 	1.8 	2.2 	2.7 	2.9 	3.3 	3.7 
uk	5.3 	4.8 	4.7 	4.9 	5.1 	5.0 	5.3 	5.9 	6.1 	6.8 	7.9 	8.5 	9.3 	10.2 	9.8 	8.6 	6.9 	7.1 	8.5 	10.3 	11.2 	11.2 	10.9 	10.8 
hr	: 	12.6 	13.6 	14.1 	14.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
tr	9.4 	10.2 	10.3 	10.5 	10.3 	8.3 	6.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
no	3.5 	4.6 	4.4 	4.5 	3.9 	3.6 	3.4 	3.2 	3.2 	4.0 	4.7 	4.9 b	5.4 b	6.0 b	5.9 b	5.5 b	5.2 b	4.9 b	: 	: 	: 	: 	: 	: 
us	4.6 	5.1 	5.5 	6.0 	5.8 	4.8 	4.0 	4.2 	4.5 	4.9 	5.4 	5.6 	6.1 	6.8 	7.4 	6.7 	5.5 	5.3 	5.5 	6.2 	7.0 	7.2 	7.5 	9.6 
jp	4.1 	4.4 	4.7 	5.3 	5.4 	5.0 	4.7 	4.7 	4.1 	3.4 	3.4 	3.1 	2.9 	2.5 	2.2 	2.1 	2.1 	2.3 	2.3 	2.8 	2.8 	2.6 	2.7 	2.6 
